V (V),I (mA)
0.020,17.05
0.950,16.62
2.000,16.62
2.990,16.55
3.112,16.78
3.230,16.68
3.365,16.48
3.595,15.54
3.699,14.6
3.808,13.04
4.001,8.35
4.139,3.72
