V (V),I (mA)
0.0066,5.3
0.315,5.2
0.596,5.18
0.899,5.17
1.205,5.15
1.399,5
1.512,4.88
1.591,4.7
1.693,4.15
1.804,3.24
1.877,1.68
1.921,0
