Frequency,PSD
0,-160
8,-49.1601839144149
16,-44.6024151244557
24,-45.7250307425661
32,-51.1773793919672
40,-46.8867826585573
48,-64.7082175924535
56,-50.8710365307821
64,-61.0760882012731
72,-51.6757914052059
80,-51.2679394073653
88,-51.9645241493123
96,-56.2102894704608
104,-48.9929030293042
112,-46.5708598043943
120,-55.5036307802944
128,-47.9035137170513
136,-43.7892583773682
144,-44.1744073424303
152,-51.4464961622096
160,-42.8835065672369
168,-44.0814354455163
176,-38.8820457881549
184,-36.5026385181587
192,-30.2009697920875
200,0
208,-29.5379344043384
216,-35.5045983743576
224,-38.3836574769255
232,-40.9898686546151
240,-43.8504617503965
248,-46.3592714810342
256,-43.9626572562699
264,-42.337935625387
272,-46.6433659066559
280,-45.4697853672484
288,-48.3617089772046
296,-43.4358975264388
304,-48.1155725336794
312,-58.4311334619874
320,-59.2631201728212
328,-49.1981278998458
336,-63.0979014089205
344,-49.903753605632
352,-59.5777682528779
360,-48.7497072738085
368,-49.2602073389947
376,-42.8539476725048
384,-42.5357431365012
392,-40.5548266491219
400,-15.6324350708755
408,-40.1487064036422
416,-42.9496724080631
424,-43.3644554250767
432,-50.3852640900217
440,-49.6952740244459
448,-60.2347017662809
456,-52.8595594295082
464,-49.38730409455
472,-56.9888799382075
480,-52.0691801636286
488,-50.6077760846206
496,-50.62572670412
