Time,Amplitude
0.000329999999999941,0.101
0.00214999999999987,-0.081
0.00456000000000012,-0.041
0.00627999999999984,0.049
0.00835000000000008,0.073
0.0104899999999999,0.179
0.01241,-0.023
0.0141800000000001,-0.049
0.0165099999999998,0.087
0.01857,0.149
0.0204999999999997,-0.047
0.02251,0.259
0.0245199999999999,0.293
0.0264600000000002,0.227
0.0282100000000001,-0.015
0.0301399999999998,-0.091
0.0323199999999999,0.091
0.0346600000000001,0.051
0.0364200000000001,0.191
0.0381399999999998,-0.093
0.0404,0.121
0.0422699999999998,0.037
0.0445600000000002,0.177
0.0463499999999999,0.121
0.0484200000000001,-0.105
0.05036,-0.015
0.05226,0.033
0.0545299999999997,0.129
0.0561599999999998,-0.063
0.0582199999999999,-0.007
0.06027,0.041
0.0625399999999998,0.309
0.0642499999999999,0.019
0.06636,0.127
0.0682800000000001,-0.023
0.0705299999999998,0.015
0.0724299999999998,0.111
0.0741800000000001,-0.045
0.0762499999999999,0.021
0.0785999999999998,0.071
0.08005,-0.181
0.0823,0.073
0.0844199999999997,0.165
0.0862599999999998,0.031
0.08826,-0.015
0.0905,0.269
0.0922999999999998,0.051
0.09429,-0.011
0.0960899999999998,-0.135
0.0981800000000002,-0.051
0.10038,0.147
0.10247,0.239
0.10412,-0.107
0.1062,-0.025
0.10834,0.107
0.11023,-0.003
0.11222,-0.109
0.1142,-0.033
0.11629,0.059
0.11831,0.077
0.12037,0.137
0.12214,-0.091
0.12423,-0.001
0.12644,0.209
0.12837,0.139
0.1302,-0.033
0.13221,-0.073
0.13431,0.083
0.13641,0.185
0.13812,-0.111
0.14037,0.137
0.1423,0.071
0.14446,0.079
0.14643,-0.003
0.14821,-0.017
0.15023,-0.051
0.1522,-0.029
0.15447,0.239
0.15628,0.049
0.15839,0.161
0.1606,0.069
0.16253,0.263
0.16413,-0.101
0.16619,-0.037
0.16825,0.021
0.17017,-0.063
0.17251,0.281
0.1745,0.241
0.17616,-0.071
0.17834,0.113
0.18036,0.133
0.18236,0.135
0.1844,0.175
0.18608,-0.147
0.18836,0.133
0.19049,0.259
0.19244,0.197
0.1941,-0.129
0.19618,-0.051
0.19826,0.035
0.20033,0.103
0.20223,0.003
0.20412,-0.113
0.2063,0.069
0.20844,0.215
0.21034,0.107
0.21223,0.001
0.21431,0.081
0.21617,-0.053
0.21816,-0.069
0.22026,0.029
0.2223,0.067
0.22437,0.143
0.22649,0.257
0.22816,-0.069
0.23038,0.147
0.2326,0.239
0.23403,-0.199
0.23625,0.017
0.23834,0.005
0.24025,0.021
0.24242,0.191
0.24439,0.157
0.24613,-0.103
0.24816,-0.069
0.25039,0.097
0.25233,0.103
0.25436,0.127
0.25624,0.007
0.25827,0.037
0.2603,0.067
0.26251,0.203
0.26434,0.039
0.26611,-0.121
0.2682,-0.029
0.27032,0.087
0.27248,0.159
0.27424,0.001
0.27631,0.083
0.27837,0.137
0.28035,0.121
0.28225,0.023
0.28452,0.121
0.28612,-0.107
0.28828,0.021
0.29041,0.177
0.29218,-0.047
0.29426,0.035
0.29653,0.307
0.29855,0.185
0.30025,-0.065
0.30219,-0.065
0.30416,-0.069
0.30635,0.123
0.30836,0.127
0.31026,0.029
0.31227,0.037
0.31449,0.257
0.31624,0.015
0.31835,0.121
0.32004,-0.191
0.32221,-0.021
0.32442,0.163
0.32639,0.159
0.32833,0.105
0.33029,0.063
0.33238,-0.007
0.33443,0.197
0.33616,-0.071
0.33817,-0.061
0.34013,-0.101
0.34254,0.313
0.34444,0.215
0.34642,0.187
0.34818,-0.049
0.35019,-0.149
0.35225,0.019
0.3542,-0.029
0.35642,-0.081
0.35828,0.051
0.3603,0.071
0.3622,-0.029
0.36443,0.127
0.36642,0.007
0.36842,0.081
0.3701,-0.133
0.37226,0.027
0.37448,-0.083
0.37629,0.053
0.37835,0.119
0.38037,0.111
0.38226,0.031
0.38432,0.089
0.38622,-0.009
0.38858,0.089
0.39019,-0.043
0.39242,0.051
0.39437,0.139
0.39642,0.195
0.3984,0.115
0.40024,0.009
0.40228,0.053
0.40431,-0.045
0.4063,0.065
0.4085,0.013
0.41033,-0.059
0.41233,0.097
0.41436,0.125
0.41635,0.115
0.4182,-0.029
0.42036,0.009
0.42216,-0.071
0.4245,0.273
0.42629,0.061
0.42812,-0.113
0.43036,0.133
0.43231,0.077
0.43429,0.059
0.43633,0.103
0.43817,-0.065
0.4402,-0.029
0.44257,0.175
0.44414,-0.087
0.4463,0.039
0.44834,0.115
0.45031,0.077
0.45252,0.087
0.45413,-0.101
0.45651,0.137
0.4582,-0.033
0.4604,0.115
0.46213,-0.103
0.46418,-0.093
0.46652,0.237
0.46847,0.029
0.4703,0.073
0.47223,0.003
0.47425,-0.087
0.47634,0.105
0.47841,0.183
0.48049,0.059
0.4822,-0.027
0.48421,-0.019
0.48645,0.013
0.4882,-0.111
0.49056,0.331
0.4922,-0.029
0.49443,0.203
0.49603,-0.199
0.49828,0.053
0.5004,0.167
0.50237,0.141
0.50424,0.007
0.5063,-0.107
0.50836,0.131
0.51021,-0.025
0.51221,-0.025
0.51417,-0.063
0.51624,0.009
0.51849,0.111
0.52059,0.335
0.52224,0.015
0.52416,-0.075
0.52627,0.041
0.52832,0.093
0.53013,-0.101
0.5322,-0.029
0.53439,0.155
0.53641,0.181
0.53829,0.063
0.54023,0.003
0.54221,-0.019
0.54429,0.059
0.54627,0.039
0.54822,-0.015
0.55026,0.025
0.55232,0.085
0.55449,0.261
0.55624,0.007
0.5584,0.083
0.56018,-0.047
0.56233,0.099
0.5643,0.071
0.56631,0.083
0.56816,-0.077
0.57032,0.089
0.57244,0.207
0.5743,0.067
0.57623,-0.001
0.57833,0.103
0.58025,0.017
0.58238,0.149
0.58421,-0.017
0.58618,-0.053
0.58832,0.089
0.59051,-0.005
0.59237,0.141
0.59414,-0.091
0.59608,-0.151
0.59827,0.043
0.60031,0.077
0.60235,0.119
0.60424,0.015
0.60624,0.013
0.60834,0.107
0.61043,0.045
0.61232,0.089
0.6142,-0.033
0.61633,0.099
0.61829,0.057
0.62029,0.059
0.62219,-0.037
0.62419,-0.041
0.62636,0.125
0.62816,-0.067
0.63033,0.097
0.63218,-0.051
0.63435,0.123
0.63644,0.213
0.63804,-0.189
0.64015,-0.079
0.64224,0.009
0.64432,0.089
0.64634,0.063
0.64829,0.057
0.65027,0.035
0.65229,0.057
0.65436,0.127
0.65616,-0.075
0.65818,-0.053
0.6603,0.071
0.66226,0.027
0.66435,0.121
0.66638,0.151
0.66813,-0.103
0.67045,0.217
0.67234,0.111
0.67418,-0.049
0.67615,-0.085
0.67834,0.071
0.68044,0.213
0.68228,0.045
0.68438,0.153
0.68632,0.031
0.68828,0.051
0.69028,0.011
0.6921,-0.133
0.69427,0.043
0.69657,0.053
0.69854,0.305
0.70022,-0.011
0.70223,-0.005
0.70462,0.131
0.70621,-0.019
0.70826,0.035
0.71002,-0.211
0.7123,0.063
0.71454,0.073
0.71638,0.149
0.71825,0.019
0.72046,0.027
0.72242,0.185
0.72434,0.105
0.72648,0.003
0.72824,0.013
0.73022,-0.013
0.73229,0.003
0.73432,0.067
0.73611,-0.125
0.73824,0.009
0.74039,0.097
0.74224,0.013
0.74443,0.195
0.74621,-0.017
0.74814,-0.089
0.75039,0.155
0.75222,-0.011
0.75421,-0.051
0.75647,0.137
0.75833,0.089
0.76029,0.063
0.76236,0.127
0.76436,0.053
0.76633,0.087
0.76837,0.135
0.77037,0.057
0.77228,-0.081
0.77442,0.141
0.77636,0.127
0.77821,-0.019
0.78039,0.155
0.78242,0.095
0.78443,0.073
0.78648,0.195
0.78812,-0.115
0.79019,-0.043
0.79252,0.263
0.79425,-0.019
0.79628,0.017
0.79835,0.035
0.80026,0.033
0.80243,0.195
0.80442,0.191
0.8063,0.047
0.80821,-0.023
0.81036,-0.117
0.81228,0.051
0.81438,-0.003
0.81633,0.099
0.8182,-0.027
0.82034,0.109
0.82251,0.281
0.82416,-0.067
0.82613,-0.097
0.8284,0.171
0.83023,-0.001
0.83211,-0.117
0.83422,-0.011
0.83643,0.195
0.83824,-0.051
0.84034,0.111
0.84224,0.013
0.8443,0.073
0.84638,0.151
0.84814,-0.089
0.85044,0.205
0.8523,0.075
0.85417,-0.061
0.85635,0.117
0.85806,-0.167
0.8602,-0.027
0.86247,0.239
0.86417,-0.109
0.8664,0.167
0.86839,0.165
0.87018,-0.055
0.87233,0.057
0.87427,0.043
0.87609,-0.143
0.8782,-0.033
0.88047,0.235
0.88228,0.051
0.88415,-0.085
0.88638,0.153
0.88827,0.035
0.8903,0.069
0.8922,-0.029
0.89423,0.003
0.89626,0.031
0.89851,0.229
0.90035,-0.063
0.90242,0.187
0.90447,0.243
0.90628,0.053
0.90822,-0.015
0.91039,-0.009
0.91223,-0.003
0.91433,0.065
0.91648,0.253
0.91827,0.037
0.92011,-0.121
0.92235,-0.007
0.92435,-0.011
0.9262,-0.033
0.92829,0.061
0.93024,0.013
0.93226,0.031
0.93449,0.257
0.93632,0.085
0.93846,0.193
0.94037,0.059
0.94227,0.043
0.94431,0.081
0.94612,-0.111
0.9482,-0.035
0.95025,-0.057
0.9522,-0.029
0.95436,0.131
0.95635,0.105
0.95854,0.309
0.96039,0.157
0.96253,0.295
0.96408,-0.155
0.96623,-0.005
0.96834,0.019
0.97041,-0.085
0.97222,-0.013
0.97429,0.061
0.97616,-0.071
0.97826,0.031
0.98039,0.159
0.98235,0.025
0.9845,0.065
0.98632,0.093
0.98829,0.057
0.99039,0.155
0.99242,0.185
0.99432,0.081
0.99639,0.157
0.99848,0.195
