x,y
100,-0.1720034352
500,0.1754784862
1000,0.3474819214
1500,0.878109714
2000,1.043560233
2500,1.440053228
3000,1.487647263
3500,1.487647263
4000,1.487647263
4500,1.15983894
5000,0.4645968144
5500,-0.09597765764
6000,-0.9045507987
6500,-1.796193452
7000,-3.057228367
7500,-3.912267975
8000,-5.049592098
8500,-5.927701812
9000,-7.206879938
9500,-7.773987039
10000,-8.74008063
11000,-10.12169901
12000,-11.4108588
13000,-13.01817118
14000,-13.79458695
15000,-14.76068054
