x,y
100,-2.939534486
500,-12.08860423
1000,-24.93700964
1500,-37.66988696
2000,-48.28628068
2500,-60.40815421
3000,-71.85885734
3500,-83.80057448
4000,-103.8287435
4500,-125.7480169
5000,-149.0502769
5500,-169.815901
6000,-186.192644
6500,-197.0015551
7000,-205.2437824
7500,-211.9657188
8000,-218.1445131
8500,-221.4345986
9000,-224.9008722
9500,-227.3320745
10000,-229.8808331
11000,-235.4396782
12000,-238.5330237
13000,-241.9275131
14000,-245.7503714
15000,-250.2500772
