x,y
300,0.031
310,0.032
320,0.038
330,0.054
340,0.075
350,0.095
360,0.117
370,0.107
380,9.45
390,14.153
400,19.3
410,24.04
420,30.03
430,40.9
440,43.85
450,46.85
460,55.35
470,64.51
480,79.59
490,105.7
500,116.01
505,120.15
510,126.5
515,127.46
520,110.46
525,136.43
530,127.41
535,123.74
540,135.74
545,132.5
550,140.2
555,139.62
560,151.5
565,151.91
570,151.4
575,153.16
580,144.7
585,145.74
590,147.03
595,146.12
600,142.44
605,138.19
610,123.41
615,127.81
620,123.54
625,125.92
630,126.61
635,113.04
640,107.65
645,107.02
650,116.32
655,102.07
660,108.01
665,101.41
670,101.24
675,99.77
680,98.89
685,98.12
690,93.67
695,88.57
700,85.44
705,79.27
710,77.8
715,74.276
720,68.11
725,62.08
730,60.08
735,56.15
740,53.65
745,53.12
750,47.54
760,40.36
770,38.61
780,36.06
790,31.58
800,26.52
810,23.3
820,19.11
830,11.74
840,7.86
850,4.39
860,3.01
870,2.61
880,2.35
890,1.93
900,1.94
910,0.511
920,0.467
930,0.441
940,0.447
950,0.403
960,0.409
970,0.409
980,0.347
990,0.309
1000,0.307
