x,y1,y2,y3
0,0,0,0
0.463,0.0007,0.00079,0.000797
1.111,0.0019,0.00195,0.001957
1.79,0.003,0.00315,0.003137
2.46,0.0042,0.00425,0.004287
3.13,0.0053,0.00535,0.005417
3.78,0.0064,0.00655,0.006457
4.43,0.0074,0.00765,0.007357
5.07,0.0085,0.00865,0.008097
5.69,0.0095,0.00975,0.008657
6.3,0.0105,0.01075,0.009107
6.64,0.0105,0.01135,0.009327
