x,y1,y2,y3
500,0.022,0.019,0.024
505,0.022,0.02,0.025
510,0.02,0.022,0.025
515,0.023,0.021,0.028
520,0.024,0.026,0.029
525,0.026,0.03,0.037
530,0.03,0.042,0.054
535,0.042,0.072,0.084
540,0.073,0.114,0.128
545,0.125,1.824,12.43
550,1.607,19.64,28.8
555,19.8,45.82,63.98
560,26.58,64.57,99.98
565,25.88,63.68,104.24
570,24.73,61.24,101.2
575,18.16,46.07,79.19
580,12.67,31.8,52.08
585,9.24,23.17,39.2
590,6.86,16.17,28.34
595,4.45,10.742,17.14
600,3.14,7.526,12.18
605,2.25,5.31,9.36
610,0.489,3.78,6.03
615,0.372,2.74,4.32
620,0.278,1.964,3.072
625,0.255,0.463,2.258
630,0.033,0.402,0.52
635,0.029,0.34,0.441
640,0.032,0.28,0.348
645,0.03,0.25,0.205
650,0.029,0.229,0.251
655,0.024,0.215,0.192
660,0.027,0.212,0.225
665,0.026,0.03,0.198
670,0.025,0.028,0.03
675,0.022,0.026,0.029
680,0.021,0.027,0.028
685,0.025,0.028,0.026
690,0.025,0.027,0.024
695,0.026,0.027,0.024
700,0.027,0.028,0.022
