x,y
0,0
4,0.0246
8,0.0246
12,0.0246
16,0.0246
20,0.0246
24,0.0246
28,0.0246
32,1.255
33,1.409
34,1.61
35,1.88
36,2.28
37,2.86
38,4.02
39,8.11
40,26.2
41.14,49.6
