x,y
300,3.011462988
310,2.145491116
320,1.808748632
330,1.871815314
340,1.937533907
350,1.867872591
360,1.784651993
370,1.288520129
380,91.29111723
390,111.3024741
400,125.2368469
410,130.1971913
420,137.5749607
430,160.0319281
440,147.9829103
450,137.6140052
460,142.7094425
470,147.1490583
480,161.9592202
490,192.8061596
500,191.0950781
505,188.5010441
510,189.2964457
515,182.1765423
520,151.0000369
525,178.6085993
530,159.9432585
535,149.1332099
540,157.249717
545,147.7119695
550,150.5737806
555,144.6173988
560,151.5001515
565,146.8099685
570,141.544537
575,138.652134
580,126.9601168
585,124.0474502
590,121.5082795
595,117.3465167
600,111.2532629
605,105.0574132
610,91.39220371
615,92.27039608
620,87.00912983
625,86.58115815
630,85.04941343
635,74.23445716
640,69.15833694
645,67.30267337
650,71.6523089
655,61.62363517
660,63.95059682
665,58.91740931
670,57.748636
675,55.90549019
680,54.46327323
685,53.14127661
690,49.91354252
695,46.45822274
700,44.1371786
705,40.34815362
710,39.03596226
715,36.75346685
720,33.251754
725,29.90495734
730,28.58845004
735,26.39398057
740,24.92244544
745,24.39564295
750,21.59285701
760,17.95023125
770,16.83816651
780,15.44105934
790,13.29454145
800,10.98937528
810,9.514767286
820,7.698883803
830,4.671114172
840,3.091723896
850,1.708793553
860,1.160490429
870,0.9975874437
880,0.8912162485
890,0.726826566
900,0.7260595885
910,0.1902010362
920,0.1729982033
930,0.1627024696
940,0.1643538852
950,0.1477640512
960,0.1496378873
970,0.1493994071
980,0.1266207548
990,0.1126981244
1000,0.111970361
