Frequency,Magnitude
375,-74.3634047825425
376.953125,-72.1435017612084
378.90625,-70.5272406297242
380.859375,-49.7686727497122
382.8125,-69.3951216638032
384.765625,-73.4151865021712
386.71875,-71.6778328803467
388.671875,-73.5502744080111
390.625,-65.1582384701867
392.578125,-81.8239137255993
394.53125,-18.0046767648085
396.484375,-73.606922425379
398.4375,-69.1843203060464
400.390625,-74.6696865894956
402.34375,-84.6054005648533
404.296875,-73.1278687577197
406.25,-75.1487310277852
408.203125,-30.7199374640888
410.15625,-81.4942720958404
412.109375,-73.6699050018065
414.0625,-73.1972410910671
416.015625,-79.3366266883033
417.96875,-77.5069529853924
419.921875,-72.4987271991463
421.875,-51.3111411649293
423.828125,-75.5916988461746
425.78125,-68.5280370398302
427.734375,-76.9880158130847
429.6875,-67.3831281681942
431.640625,-80.5846757875468
433.59375,-74.7220561904632
435.546875,-65.2355813532368
437.5,-74.6805918277947
439.453125,-68.2128301450435
441.40625,-71.9923062675671
443.359375,-71.0095564424713
445.3125,-76.8672430905554
447.265625,-76.7541130662754
449.21875,-63.7201169426469
451.171875,-72.9661484975886
453.125,-76.7624165641533
455.078125,-76.9874851051846
457.03125,-69.0143386396244
458.984375,-71.9870393849898
460.9375,-69.7747712028055
462.890625,-72.4143396629263
464.84375,-73.0541821968842
466.796875,-72.9546086627622
468.75,-72.9500541900577
470.703125,-72.9689838268838
472.65625,-69.7933131289243
474.609375,-78.3426891134502
476.5625,-69.3395151084155
478.515625,-72.7735448915681
480.46875,-69.8233132648601
482.421875,-70.9850072730338
484.375,-70.5065787115616
486.328125,-73.7969725505462
488.28125,-74.7284350445917
490.234375,-83.6314937341097
492.1875,-83.1804346141181
494.140625,-69.5950223932669
496.09375,-72.7919061113197
498.046875,-80.8523283875046
500,-75.3304030676373
