omega,t,out,in
0.4,0.145,0.00038,0.023
0.4,0.245,0.00062,0.039
0.4,0.345,0.00077,0.055
0.4,0.445,0.00085,0.071
0.4,0.545,0.00112,0.087
0.4,0.645,0.00116,0.102
0.4,0.745,0.00127,0.117
0.4,0.845,0.00136,0.133
0.4,0.945,0.00152,0.148
0.4,1.045,0.00174,0.162
0.4,1.145,0.00193,0.177
0.4,1.245,0.00209,0.191
0.4,1.345,0.00209,0.205
0.4,1.445,0.00238,0.219
0.4,1.545,0.00346,0.232
0.4,1.645,0.00627,0.245
0.4,1.745,0.01052,0.257
0.4,1.845,0.01536,0.269
0.4,1.945,0.02087,0.281
0.4,2.045,0.02691,0.292
0.4,2.145,0.03299,0.303
0.4,2.245,0.03928,0.313
0.4,2.345,0.0453,0.323
0.4,2.445,0.05114,0.332
0.4,2.545,0.05654,0.34
0.4,2.645,0.06164,0.349
0.4,2.745,0.06696,0.356
0.4,2.845,0.07227,0.363
0.4,2.945,0.07727,0.37
0.4,3.045,0.08088,0.375
0.4,3.145,0.08397,0.381
0.4,3.245,0.08657,0.385
0.4,3.345,0.08862,0.389
0.4,3.445,0.0904,0.393
0.4,3.545,0.09205,0.395
0.4,3.645,0.09352,0.397
0.4,3.745,0.09547,0.399
0.4,3.845,0.09734,0.4
0.4,3.945,0.09926,0.4
0.4,4.045,0.10111,0.4
0.4,4.145,0.10339,0.398
0.4,4.245,0.10558,0.397
0.4,4.345,0.10758,0.394
0.4,4.445,0.10938,0.391
0.4,4.545,0.11061,0.388
0.4,4.645,0.11056,0.384
0.4,4.745,0.11094,0.379
0.4,4.845,0.11103,0.373
0.4,4.945,0.11081,0.367
0.4,5.045,0.11076,0.361
0.4,5.145,0.11082,0.353
0.4,5.245,0.11068,0.346
0.4,5.345,0.11063,0.337
0.4,5.445,0.11079,0.328
0.4,5.545,0.11073,0.319
0.4,5.645,0.1105,0.309
0.4,5.745,0.11069,0.299
0.4,5.845,0.11052,0.288
0.4,5.945,0.11009,0.277
0.4,6.045,0.11019,0.265
0.4,6.145,0.11028,0.253
0.4,6.245,0.10995,0.24
0.4,6.345,0.10982,0.227
0.4,6.445,0.10996,0.214
0.4,6.545,0.10963,0.2
0.4,6.645,0.10959,0.186
0.4,6.745,0.10944,0.172
0.4,6.845,0.10926,0.157
0.4,6.945,0.10929,0.142
0.4,7.045,0.10921,0.127
0.4,7.145,0.10923,0.112
0.4,7.245,0.10927,0.096
0.4,7.345,0.10929,0.081
0.4,7.445,0.10921,0.065
0.4,7.545,0.10906,0.049
0.4,7.645,0.10891,0.033
0.4,7.745,0.10885,0.017
0.4,7.845,0.10833,0.001
0.4,7.945,0.10733,-0.015
0.4,8.045,0.10512,-0.031
0.4,8.145,0.10241,-0.046
0.4,8.245,0.09953,-0.062
0.4,8.345,0.09619,-0.078
0.4,8.445,0.09258,-0.094
0.4,8.545,0.08938,-0.109
0.4,8.645,0.0863,-0.124
0.4,8.745,0.08252,-0.14
0.4,8.845,0.07845,-0.154
0.4,8.945,0.07516,-0.169
0.4,9.045,0.07127,-0.183
0.4,9.145,0.06614,-0.197
0.4,9.245,0.06047,-0.211
0.4,9.345,0.05484,-0.225
0.4,9.445,0.04967,-0.238
0.4,9.545,0.04494,-0.25
0.4,9.645,0.03998,-0.263
0.4,9.745,0.03482,-0.275
0.4,9.845,0.02895,-0.286
0.4,9.945,0.02239,-0.297
0.4,10.045,0.01595,-0.307
0.4,10.145,0.0096,-0.317
0.4,10.245,0.00275,-0.327
0.4,10.345,-0.00458,-0.336
0.4,10.445,-0.01248,-0.344
0.4,10.545,-0.0203,-0.352
0.4,10.645,-0.02799,-0.359
0.4,10.745,-0.03548,-0.366
0.4,10.845,-0.04362,-0.372
0.4,10.945,-0.05201,-0.378
0.4,11.045,-0.06013,-0.383
0.4,11.145,-0.06783,-0.387
0.4,11.245,-0.07505,-0.391
0.4,11.345,-0.08249,-0.394
0.4,11.445,-0.08995,-0.396
0.4,11.545,-0.09632,-0.398
0.4,11.645,-0.10218,-0.399
0.4,11.745,-0.10808,-0.4
0.4,11.845,-0.1147,-0.4
0.4,11.945,-0.1215,-0.399
0.4,12.045,-0.12773,-0.398
0.4,12.145,-0.13308,-0.396
0.4,12.245,-0.13789,-0.393
0.4,12.345,-0.14189,-0.39
0.4,12.445,-0.14584,-0.386
0.4,12.545,-0.14946,-0.381
0.4,12.645,-0.15306,-0.376
0.4,12.745,-0.15612,-0.371
0.4,12.845,-0.15906,-0.364
0.4,12.945,-0.16091,-0.357
0.4,13.045,-0.16191,-0.35
0.4,13.145,-0.16236,-0.342
0.4,13.245,-0.16275,-0.333
0.4,13.345,-0.16254,-0.324
0.4,13.445,-0.16282,-0.315
0.4,13.545,-0.16275,-0.304
0.4,13.645,-0.16274,-0.294
0.4,13.745,-0.16296,-0.283
0.4,13.845,-0.1629,-0.271
0.4,13.945,-0.1627,-0.259
0.4,14.045,-0.16273,-0.247
0.4,14.145,-0.16275,-0.234
0.4,14.245,-0.16285,-0.221
0.4,14.345,-0.16293,-0.207
0.4,14.445,-0.16294,-0.194
0.4,14.545,-0.16288,-0.179
0.4,14.645,-0.16295,-0.165
0.4,14.745,-0.16275,-0.15
0.4,14.845,-0.16271,-0.135
0.4,14.945,-0.16284,-0.12
0.4,15.045,-0.16249,-0.105
0.4,15.145,-0.16225,-0.089
0.4,15.245,-0.16224,-0.074
0.4,15.345,-0.16185,-0.058
0.4,15.445,-0.1618,-0.042
0.4,15.545,-0.16133,-0.026
0.4,15.645,-0.16131,-0.01
0.4,15.745,-0.16099,0.006
0.4,15.845,-0.15989,0.022
0.4,15.945,-0.1584,0.038
0.4,16.045,-0.15594,0.054
0.4,16.145,-0.15176,0.07
0.4,16.245,-0.14725,0.085
0.4,16.345,-0.14212,0.101
0.4,16.445,-0.13689,0.116
0.4,16.545,-0.13151,0.131
0.4,16.645,-0.12599,0.146
0.4,16.745,-0.11978,0.161
0.4,16.845,-0.1134,0.176
0.4,16.945,-0.10679,0.19
0.4,17.045,-0.10028,0.204
0.4,17.145,-0.09409,0.217
0.4,17.245,-0.08734,0.231
0.4,17.345,-0.0802,0.244
0.4,17.445,-0.07256,0.256
0.4,17.545,-0.06476,0.268
0.4,17.645,-0.05703,0.28
0.4,17.745,-0.04965,0.291
0.4,17.845,-0.04214,0.302
0.4,17.945,-0.03443,0.312
0.4,18.045,-0.02684,0.322
0.4,18.145,-0.01908,0.331
0.4,18.245,-0.01131,0.34
0.4,18.345,-0.00252,0.348
0.4,18.445,0.00652,0.356
0.4,18.545,0.015,0.363
0.4,18.645,0.02299,0.369
0.4,18.745,0.03143,0.375
0.4,18.845,0.04016,0.38
0.4,18.945,0.04879,0.385
0.4,19.045,0.05687,0.389
0.4,19.145,0.06482,0.392
0.4,19.245,0.07239,0.395
0.4,19.345,0.07864,0.397
0.4,19.445,0.0841,0.399
0.4,19.545,0.08815,0.4
0.4,19.645,0.09149,0.4
0.4,19.745,0.09438,0.4
0.4,19.845,0.09691,0.399
0.4,19.945,0.09921,0.397
0.4,20.045,0.10176,0.395
0.4,20.145,0.10404,0.392
0.4,20.245,0.10607,0.388
0.4,20.345,0.10766,0.384
0.4,20.445,0.10874,0.379
0.4,20.545,0.10894,0.374
0.4,20.645,0.10902,0.368
0.4,20.745,0.1091,0.361
0.4,20.845,0.10907,0.354
0.4,20.945,0.10893,0.346
0.4,21.045,0.10904,0.338
0.4,21.145,0.10894,0.329
0.4,21.245,0.10888,0.32
0.4,21.345,0.10885,0.31
0.4,21.445,0.10876,0.3
0.4,21.545,0.10862,0.289
0.4,21.645,0.10856,0.278
0.4,21.745,0.10871,0.266
0.4,21.845,0.10831,0.254
0.4,21.945,0.10848,0.241
0.4,22.045,0.10834,0.228
0.4,22.145,0.10805,0.215
0.4,22.245,0.1078,0.201
0.4,22.345,0.10777,0.187
0.4,22.445,0.10768,0.173
0.4,22.545,0.10758,0.158
0.4,22.645,0.10751,0.143
0.4,22.745,0.10741,0.128
0.4,22.845,0.10741,0.113
0.4,22.945,0.10736,0.098
0.4,23.045,0.10741,0.082
0.4,23.145,0.10757,0.066
0.4,23.245,0.10751,0.051
0.4,23.345,0.10747,0.035
0.4,23.445,0.10741,0.019
0.4,23.545,0.10728,0.003
0.4,23.645,0.10635,-0.013
0.4,23.745,0.10488,-0.029
0.4,23.845,0.10233,-0.045
0.4,23.945,0.09931,-0.061
0.4,24.045,0.09554,-0.077
0.4,24.145,0.09187,-0.092
0.4,24.245,0.08855,-0.108
0.4,24.345,0.08534,-0.123
0.4,24.445,0.0816,-0.138
0.4,24.545,0.07774,-0.153
0.4,24.645,0.07438,-0.168
0.4,24.745,0.07086,-0.182
0.4,24.845,0.06683,-0.196
0.4,24.945,0.06198,-0.21
0.4,25.045,0.05679,-0.224
0.4,25.145,0.05162,-0.237
0.4,25.245,0.04602,-0.249
0.4,25.345,0.04034,-0.262
0.4,25.445,0.03525,-0.274
0.4,25.545,0.02936,-0.285
0.4,25.645,0.02274,-0.296
0.4,25.745,0.0162,-0.307
0.4,25.845,0.00948,-0.317
0.4,25.945,0.00231,-0.326
0.4,26.045,-0.00502,-0.335
0.4,26.145,-0.01278,-0.344
0.4,26.245,-0.02069,-0.351
0.4,26.345,-0.02852,-0.359
0.4,26.445,-0.03651,-0.366
0.4,26.545,-0.04487,-0.372
0.4,26.645,-0.05306,-0.377
0.4,26.745,-0.06128,-0.382
0.4,26.845,-0.06883,-0.387
0.4,26.945,-0.07596,-0.391
0.4,27.045,-0.08256,-0.394
0.4,27.145,-0.08882,-0.396
0.4,27.245,-0.09405,-0.398
0.4,27.345,-0.09887,-0.399
0.4,27.445,-0.10324,-0.4
0.4,27.545,-0.10705,-0.4
0.4,27.645,-0.11087,-0.399
0.4,27.745,-0.11482,-0.398
0.4,27.845,-0.11926,-0.396
0.4,27.945,-0.12375,-0.393
0.4,28.045,-0.12762,-0.39
0.4,28.145,-0.13118,-0.386
0.4,28.245,-0.1349,-0.382
0.4,28.345,-0.13798,-0.377
0.4,28.445,-0.14042,-0.371
0.4,28.545,-0.14205,-0.365
0.4,28.645,-0.14418,-0.358
0.4,28.745,-0.14592,-0.351
0.4,28.845,-0.14701,-0.343
0.4,28.945,-0.14771,-0.334
0.4,29.045,-0.14794,-0.325
0.4,29.145,-0.14793,-0.315
0.4,29.245,-0.14798,-0.305
0.4,29.345,-0.14817,-0.295
0.4,29.445,-0.14803,-0.284
0.4,29.545,-0.14805,-0.272
0.4,29.645,-0.14808,-0.26
0.4,29.745,-0.14808,-0.248
0.4,29.845,-0.14825,-0.235
0.4,29.945,-0.14816,-0.222
0.4,30.045,-0.14831,-0.209
0.4,30.145,-0.14825,-0.195
0.4,30.245,-0.14844,-0.181
0.4,30.345,-0.14834,-0.166
0.4,30.445,-0.14833,-0.151
0.4,30.545,-0.14849,-0.137
0.4,30.645,-0.14834,-0.121
0.4,30.745,-0.148,-0.106
0.4,30.845,-0.14825,-0.091
0.4,30.945,-0.14799,-0.075
0.4,31.045,-0.14763,-0.059
0.4,31.145,-0.14748,-0.043
0.4,31.245,-0.14724,-0.027
0.4,31.345,-0.14693,-0.011
0.4,31.445,-0.1465,0.005
0.4,31.545,-0.14637,0.021
0.4,31.645,-0.14574,0.037
0.4,31.745,-0.14373,0.052
0.4,31.845,-0.14018,0.068
0.4,31.945,-0.13614,0.084
0.4,32.045,-0.13228,0.1
0.4,32.145,-0.12838,0.115
0.4,32.245,-0.12425,0.13
0.4,32.345,-0.11957,0.145
0.4,32.445,-0.11458,0.16
0.4,32.545,-0.10889,0.175
0.4,32.645,-0.10286,0.189
0.4,32.745,-0.09663,0.203
0.4,32.845,-0.09054,0.216
0.4,32.945,-0.08431,0.23
0.4,33.045,-0.07802,0.243
0.4,33.145,-0.07075,0.255
0.4,33.245,-0.06357,0.267
0.4,33.345,-0.05657,0.279
0.4,33.445,-0.04933,0.29
0.4,33.545,-0.04204,0.301
0.4,33.645,-0.03479,0.311
0.4,33.745,-0.02741,0.321
0.4,33.845,-0.02039,0.33
0.4,33.945,-0.01278,0.339
0.4,34.045,-0.00415,0.347
0.4,34.145,0.0043,0.355
0.4,34.245,0.01251,0.362
0.4,34.345,0.02035,0.369
0.4,34.445,0.02832,0.374
0.4,34.545,0.03634,0.38
0.4,34.645,0.04424,0.384
0.4,34.745,0.05232,0.389
0.4,34.845,0.06051,0.392
0.4,34.945,0.06839,0.395
0.4,35.045,0.07636,0.397
0.4,35.145,0.08265,0.399
0.4,35.245,0.08783,0.4
0.4,35.345,0.09207,0.4
0.4,35.445,0.09567,0.4
0.4,35.545,0.09882,0.399
0.4,35.645,0.1012,0.397
0.4,35.745,0.10346,0.395
0.4,35.845,0.10504,0.392
0.4,35.945,0.10632,0.388
0.4,36.045,0.10661,0.384
0.4,36.145,0.10677,0.38
0.4,36.245,0.10687,0.374
0.4,36.345,0.10669,0.368
0.4,36.445,0.1068,0.362
0.4,36.545,0.10676,0.355
0.4,36.645,0.1067,0.347
0.4,36.745,0.1067,0.339
0.4,36.845,0.10644,0.33
0.4,36.945,0.10654,0.321
0.4,37.045,0.10658,0.311
0.4,37.145,0.10649,0.3
0.4,37.245,0.10639,0.29
0.4,37.345,0.10631,0.278
0.4,37.445,0.10606,0.267
0.4,37.545,0.10616,0.255
0.4,37.645,0.10612,0.242
0.4,37.745,0.10591,0.229
0.4,37.845,0.10594,0.216
0.4,37.945,0.10575,0.202
0.4,38.045,0.1056,0.188
0.4,38.145,0.10556,0.174
0.4,38.245,0.10536,0.159
0.4,38.345,0.10528,0.145
0.4,38.445,0.10507,0.13
0.4,38.545,0.105,0.114
0.4,38.645,0.10528,0.099
0.4,38.745,0.10518,0.083
0.4,38.845,0.10521,0.068
0.4,38.945,0.1051,0.052
0.4,39.045,0.10532,0.036
0.4,39.145,0.10523,0.02
0.4,39.245,0.10537,0.004
0.4,39.345,0.10496,-0.012
0.4,39.445,0.10463,-0.028
0.4,39.545,0.10429,-0.044
0.4,39.645,0.10325,-0.06
0.4,39.745,0.10092,-0.076
0.4,39.845,0.09664,-0.091
0.4,39.945,0.09183,-0.107
0.4,40.045,0.08754,-0.122
0.4,40.145,0.08315,-0.137
0.4,40.245,0.07838,-0.152
0.4,40.345,0.07447,-0.167
0.4,40.445,0.06997,-0.181
0.4,40.545,0.06503,-0.195
0.4,40.645,0.05973,-0.209
0.4,40.745,0.0549,-0.223
0.4,40.845,0.0501,-0.236
0.4,40.945,0.04508,-0.248
0.4,41.045,0.03987,-0.261
0.4,41.145,0.03495,-0.273
0.4,41.245,0.02938,-0.284
0.4,41.345,0.02284,-0.295
0.4,41.445,0.01635,-0.306
0.4,41.545,0.00977,-0.316
0.4,41.645,0.00287,-0.325
0.4,41.745,-0.00414,-0.334
0.4,41.845,-0.01175,-0.343
0.4,41.945,-0.01938,-0.351
0.4,42.045,-0.02698,-0.358
0.4,42.145,-0.03468,-0.365
0.4,42.245,-0.04265,-0.371
0.4,42.345,-0.05088,-0.377
0.4,42.445,-0.0585,-0.382
0.4,42.545,-0.06597,-0.386
0.4,42.645,-0.07238,-0.39
0.4,42.745,-0.07825,-0.393
0.4,42.845,-0.08444,-0.396
0.4,42.945,-0.09003,-0.398
0.4,43.045,-0.09528,-0.399
0.4,43.145,-0.10028,-0.4
0.4,43.245,-0.10459,-0.4
0.4,43.345,-0.10867,-0.399
0.4,43.445,-0.11236,-0.398
0.4,43.545,-0.11615,-0.396
0.4,43.645,-0.12022,-0.394
0.4,43.745,-0.12357,-0.39
0.4,43.845,-0.12618,-0.387
0.4,43.945,-0.12826,-0.382
0.4,44.045,-0.13048,-0.377
0.4,44.145,-0.13228,-0.372
0.4,44.245,-0.13431,-0.365
0.4,44.345,-0.13622,-0.359
0.4,44.445,-0.13749,-0.351
0.4,44.545,-0.13839,-0.343
0.4,44.645,-0.13917,-0.335
0.4,44.745,-0.13921,-0.326
0.4,44.845,-0.13933,-0.316
0.4,44.945,-0.13913,-0.306
0.4,45.045,-0.13939,-0.296
0.4,45.145,-0.13948,-0.285
0.4,45.245,-0.13943,-0.273
0.4,45.345,-0.13963,-0.261
0.4,45.445,-0.1395,-0.249
0.4,45.545,-0.13939,-0.236
0.4,45.645,-0.13937,-0.223
0.4,45.745,-0.13962,-0.21
0.4,45.845,-0.13945,-0.196
0.4,45.945,-0.13963,-0.182
0.4,46.045,-0.13969,-0.167
0.4,46.145,-0.13961,-0.153
0.4,46.245,-0.13964,-0.138
0.4,46.345,-0.13957,-0.123
0.4,46.445,-0.13947,-0.107
0.4,46.545,-0.13931,-0.092
0.4,46.645,-0.13932,-0.076
0.4,46.745,-0.13893,-0.06
0.4,46.845,-0.13886,-0.045
0.4,46.945,-0.1389,-0.029
0.4,47.045,-0.13888,-0.013
0.4,47.145,-0.13866,0.003
0.4,47.245,-0.13829,0.019
0.4,47.345,-0.13791,0.035
0.4,47.445,-0.13781,0.051
0.4,47.545,-0.13763,0.067
0.4,47.645,-0.13736,0.083
0.4,47.745,-0.1374,0.098
0.4,47.845,-0.13638,0.114
0.4,47.945,-0.13251,0.129
0.4,48.045,-0.12776,0.144
0.4,48.145,-0.12326,0.159
0.4,48.245,-0.11863,0.173
0.4,48.345,-0.11311,0.188
0.4,48.445,-0.10697,0.202
0.4,48.545,-0.10057,0.215
0.4,48.645,-0.09367,0.229
0.4,48.745,-0.08634,0.242
0.4,48.845,-0.07859,0.254
0.4,48.945,-0.0707,0.266
0.4,49.045,-0.06312,0.278
0.4,49.145,-0.05562,0.289
0.4,49.245,-0.04804,0.3
0.4,49.345,-0.04,0.31
0.4,49.445,-0.0325,0.32
0.4,49.545,-0.02534,0.33
0.4,49.645,-0.01802,0.338
0.4,49.745,-0.01023,0.347
0.4,49.845,-0.0019,0.354
0.5,0.145,0.00047,0.029
0.5,0.245,0.00056,0.049
0.5,0.345,0.00069,0.069
0.5,0.445,0.00095,0.088
0.5,0.545,0.00107,0.108
0.5,0.645,0.00126,0.127
0.5,0.745,0.00139,0.146
0.5,0.845,0.00163,0.164
0.5,0.945,0.00173,0.182
0.5,1.045,0.00202,0.2
0.5,1.145,0.0021,0.217
0.5,1.245,0.00234,0.233
0.5,1.345,0.00202,0.249
0.5,1.445,0.0024,0.264
0.5,1.545,0.00309,0.279
0.5,1.645,0.00448,0.293
0.5,1.745,0.00718,0.306
0.5,1.845,0.01109,0.319
0.5,1.945,0.01635,0.33
0.5,2.045,0.02279,0.341
0.5,2.145,0.02907,0.351
0.5,2.245,0.03531,0.36
0.5,2.345,0.04096,0.369
0.5,2.445,0.04686,0.376
0.5,2.545,0.0534,0.382
0.5,2.645,0.05981,0.388
0.5,2.745,0.06554,0.392
0.5,2.845,0.07047,0.396
0.5,2.945,0.07481,0.398
0.5,3.045,0.07849,0.399
0.5,3.145,0.08189,0.4
0.5,3.245,0.08498,0.399
0.5,3.345,0.08803,0.398
0.5,3.445,0.09025,0.395
0.5,3.545,0.09214,0.392
0.5,3.645,0.09334,0.387
0.5,3.745,0.09418,0.382
0.5,3.845,0.0941,0.375
0.5,3.945,0.09435,0.368
0.5,4.045,0.0944,0.36
0.5,4.145,0.09423,0.351
0.5,4.245,0.09424,0.341
0.5,4.345,0.09417,0.33
0.5,4.445,0.09416,0.318
0.5,4.545,0.09414,0.305
0.5,4.645,0.09386,0.292
0.5,4.745,0.09372,0.278
0.5,4.845,0.09382,0.263
0.5,4.945,0.09363,0.248
0.5,5.045,0.09356,0.232
0.5,5.145,0.09337,0.216
0.5,5.245,0.09315,0.198
0.5,5.345,0.09302,0.181
0.5,5.445,0.09287,0.163
0.5,5.545,0.09239,0.144
0.5,5.645,0.09249,0.125
0.5,5.745,0.09248,0.106
0.5,5.845,0.09234,0.087
0.5,5.945,0.09247,0.067
0.5,6.045,0.09234,0.048
0.5,6.145,0.09235,0.028
0.5,6.245,0.09217,0.008
0.5,6.345,0.09178,-0.012
0.5,6.445,0.09128,-0.032
0.5,6.545,0.09003,-0.052
0.5,6.645,0.08788,-0.072
0.5,6.745,0.08398,-0.092
0.5,6.845,0.07906,-0.111
0.5,6.945,0.07402,-0.13
0.5,7.045,0.06919,-0.149
0.5,7.145,0.06422,-0.167
0.5,7.245,0.05958,-0.185
0.5,7.345,0.05457,-0.203
0.5,7.445,0.04814,-0.219
0.5,7.545,0.04108,-0.236
0.5,7.645,0.03473,-0.252
0.5,7.745,0.02874,-0.267
0.5,7.845,0.02321,-0.282
0.5,7.945,0.01778,-0.295
0.5,8.045,0.01119,-0.308
0.5,8.145,0.00434,-0.321
0.5,8.245,-0.00209,-0.332
0.5,8.345,-0.00916,-0.343
0.5,8.445,-0.0164,-0.353
0.5,8.545,-0.02419,-0.362
0.5,8.645,-0.03236,-0.37
0.5,8.745,-0.04024,-0.377
0.5,8.845,-0.04872,-0.383
0.5,8.945,-0.05749,-0.389
0.5,9.045,-0.06604,-0.393
0.5,9.145,-0.07382,-0.396
0.5,9.245,-0.08088,-0.398
0.5,9.345,-0.08724,-0.4
0.5,9.445,-0.09335,-0.4
0.5,9.545,-0.09954,-0.399
0.5,9.645,-0.1055,-0.398
0.5,9.745,-0.11051,-0.395
0.5,9.845,-0.11534,-0.391
0.5,9.945,-0.11956,-0.387
0.5,10.045,-0.12317,-0.381
0.5,10.145,-0.12672,-0.374
0.5,10.245,-0.13021,-0.367
0.5,10.345,-0.13347,-0.358
0.5,10.445,-0.13609,-0.349
0.5,10.545,-0.13794,-0.339
0.5,10.645,-0.13908,-0.328
0.5,10.745,-0.13952,-0.316
0.5,10.845,-0.13982,-0.303
0.5,10.945,-0.13994,-0.29
0.5,11.045,-0.14001,-0.276
0.5,11.145,-0.13994,-0.261
0.5,11.245,-0.14011,-0.245
0.5,11.345,-0.1401,-0.229
0.5,11.445,-0.1403,-0.213
0.5,11.545,-0.14026,-0.195
0.5,11.645,-0.14032,-0.178
0.5,11.745,-0.14029,-0.16
0.5,11.845,-0.14043,-0.141
0.5,11.945,-0.14037,-0.122
0.5,12.045,-0.14027,-0.103
0.5,12.145,-0.14014,-0.084
0.5,12.245,-0.13985,-0.064
0.5,12.345,-0.13976,-0.044
0.5,12.445,-0.13969,-0.024
0.5,12.545,-0.13948,-0.004
0.5,12.645,-0.13909,0.016
0.5,12.745,-0.1383,0.036
0.5,12.845,-0.13583,0.056
0.5,12.945,-0.1321,0.075
0.5,13.045,-0.1282,0.095
0.5,13.145,-0.12421,0.114
0.5,13.245,-0.1205,0.133
0.5,13.345,-0.11649,0.152
0.5,13.445,-0.11216,0.17
0.5,13.545,-0.10744,0.188
0.5,13.645,-0.1022,0.205
0.5,13.745,-0.09642,0.222
0.5,13.845,-0.08993,0.239
0.5,13.945,-0.08292,0.254
0.5,14.045,-0.07589,0.269
0.5,14.145,-0.06916,0.284
0.5,14.245,-0.0621,0.298
0.5,14.345,-0.05471,0.311
0.5,14.445,-0.04697,0.323
0.5,14.545,-0.0394,0.334
0.5,14.645,-0.03194,0.345
0.5,14.745,-0.02397,0.354
0.5,14.845,-0.01523,0.363
0.5,14.945,-0.00656,0.371
0.5,15.045,0.00177,0.378
0.5,15.145,0.00966,0.384
0.5,15.245,0.01746,0.389
0.5,15.345,0.02542,0.393
0.5,15.445,0.033,0.397
0.5,15.545,0.04018,0.399
0.5,15.645,0.04724,0.4
0.5,15.745,0.05494,0.4
0.5,15.845,0.06207,0.399
0.5,15.945,0.06804,0.397
0.5,16.045,0.07291,0.394
0.5,16.145,0.07684,0.39
0.5,16.245,0.08006,0.386
0.5,16.345,0.08289,0.38
0.5,16.445,0.08536,0.373
0.5,16.545,0.08745,0.365
0.5,16.645,0.08886,0.357
0.5,16.745,0.09004,0.347
0.5,16.845,0.0902,0.337
0.5,16.945,0.09011,0.326
0.5,17.045,0.09035,0.314
0.5,17.145,0.09016,0.301
0.5,17.245,0.09011,0.288
0.5,17.345,0.09013,0.273
0.5,17.445,0.08992,0.258
0.5,17.545,0.08942,0.243
0.5,17.645,0.08953,0.227
0.5,17.745,0.08945,0.21
0.5,17.845,0.08927,0.193
0.5,17.945,0.08925,0.175
0.5,18.045,0.08893,0.157
0.5,18.145,0.08885,0.138
0.5,18.245,0.08865,0.119
0.5,18.345,0.08862,0.1
0.5,18.445,0.08895,0.08
0.5,18.545,0.08872,0.061
0.5,18.645,0.08876,0.041
0.5,18.745,0.08879,0.021
0.5,18.845,0.08887,0.001
0.5,18.945,0.08845,-0.019
0.5,19.045,0.08785,-0.039
0.5,19.145,0.08727,-0.059
0.5,19.245,0.0856,-0.079
0.5,19.345,0.08186,-0.098
0.5,19.445,0.07704,-0.117
0.5,19.545,0.07233,-0.136
0.5,19.645,0.06764,-0.155
0.5,19.745,0.06278,-0.173
0.5,19.845,0.05868,-0.191
0.5,19.945,0.05386,-0.208
0.5,20.045,0.04771,-0.225
0.5,20.145,0.04049,-0.241
0.5,20.245,0.03302,-0.257
0.5,20.345,0.02593,-0.272
0.5,20.445,0.0195,-0.286
0.5,20.545,0.01319,-0.3
0.5,20.645,0.00631,-0.313
0.5,20.745,-0.00047,-0.325
0.5,20.845,-0.00735,-0.336
0.5,20.945,-0.01453,-0.346
0.5,21.045,-0.02233,-0.356
0.5,21.145,-0.03049,-0.365
0.5,21.245,-0.03835,-0.372
0.5,21.345,-0.04642,-0.379
0.5,21.445,-0.0546,-0.385
0.5,21.545,-0.06294,-0.39
0.5,21.645,-0.06995,-0.394
0.5,21.745,-0.07682,-0.397
0.5,21.845,-0.08373,-0.399
0.5,21.945,-0.09062,-0.4
0.5,22.045,-0.09681,-0.4
0.5,22.145,-0.10302,-0.399
0.5,22.245,-0.10784,-0.397
0.5,22.345,-0.11296,-0.394
0.5,22.445,-0.11738,-0.39
0.5,22.545,-0.12116,-0.385
0.5,22.645,-0.12499,-0.379
0.5,22.745,-0.12885,-0.372
0.5,22.845,-0.13281,-0.364
0.5,22.945,-0.13587,-0.355
0.5,23.045,-0.13785,-0.346
0.5,23.145,-0.13893,-0.335
0.5,23.245,-0.13952,-0.324
0.5,23.345,-0.13993,-0.312
0.5,23.445,-0.13993,-0.299
0.5,23.545,-0.14,-0.285
0.5,23.645,-0.13997,-0.271
0.5,23.745,-0.13993,-0.256
0.5,23.845,-0.13991,-0.24
0.5,23.945,-0.14002,-0.224
0.5,24.045,-0.14019,-0.207
0.5,24.145,-0.14005,-0.19
0.5,24.245,-0.14017,-0.172
0.5,24.345,-0.14012,-0.153
0.5,24.445,-0.14017,-0.135
0.5,24.545,-0.14016,-0.116
0.5,24.645,-0.14015,-0.097
0.5,24.745,-0.13992,-0.077
0.5,24.845,-0.1399,-0.057
0.5,24.945,-0.1397,-0.037
0.5,25.045,-0.13936,-0.018
0.5,25.145,-0.13933,0.002
0.5,25.245,-0.13875,0.022
0.5,25.345,-0.1371,0.042
0.5,25.445,-0.13344,0.062
0.5,25.545,-0.12961,0.082
0.5,25.645,-0.12607,0.101
0.5,25.745,-0.12249,0.121
0.5,25.845,-0.11894,0.139
0.5,25.945,-0.11475,0.158
0.5,26.045,-0.11065,0.176
0.5,26.145,-0.10618,0.194
0.5,26.245,-0.10136,0.211
0.5,26.345,-0.09604,0.228
0.5,26.445,-0.0901,0.244
0.5,26.545,-0.0836,0.26
0.5,26.645,-0.07629,0.274
0.5,26.745,-0.06884,0.289
0.5,26.845,-0.06161,0.302
0.5,26.945,-0.05409,0.315
0.5,27.045,-0.04663,0.327
0.5,27.145,-0.03926,0.338
0.5,27.245,-0.03173,0.348
0.5,27.345,-0.02386,0.358
0.5,27.445,-0.01551,0.366
0.5,27.545,-0.00715,0.374
0.5,27.645,0.0009,0.38
0.5,27.745,0.00863,0.386
0.5,27.845,0.01636,0.391
0.5,27.945,0.02427,0.395
0.5,28.045,0.03198,0.397
0.5,28.145,0.03943,0.399
