x,y2,y1
0.015,-0.00019,0
0.025,-0.00022,0
0.034,-0.00033,0
0.045,-0.00036,0
0.055,-0.00037,0
0.065,-0.0003,0
0.075,-0.00036,0
0.084,-0.00031,0
0.094,-0.00031,0
0.104,-0.00032,0
0.115,-0.00033,0
0.124,-0.00027,0
0.134,-0.0003,0
0.145,-0.00028,0
0.154,-0.00035,0
0.164,-0.00042,0
0.175,-0.00046,0
0.185,-0.00047,0
0.194,-0.00053,0
0.205,-0.0004,0
0.215,-0.0003,0
0.225,-0.00029,0
0.235,-0.0003,0
0.244,-0.00031,0
0.255,-0.00041,0
0.264,-0.00037,0
0.275,-0.00037,0
0.284,-0.00035,0
0.295,-0.00034,0
0.305,-0.0003,0
0.315,-0.00046,0
0.324,-0.00043,0
0.335,-0.00042,0
0.344,-0.00041,0
0.354,-0.00036,0
0.364,-0.00037,0
0.375,-0.00047,0
0.384,-0.00047,0
0.394,-0.00062,0
0.405,-0.00074,0
0.414,-0.00069,0
0.424,-0.00065,0
0.434,-0.00063,0
0.445,-0.00047,0
0.455,-0.00041,0
0.465,-0.00036,0
0.475,-0.00042,0
0.484,-0.00041,0
0.495,-0.00043,0
0.504,-0.00045,0
0.515,-0.00042,0
0.524,-0.00035,0
0.535,-0.00029,0
0.544,-0.00036,0
0.555,-0.00041,0
0.564,-0.00036,0
0.575,-0.00032,0
0.584,-0.00041,0
0.595,-0.00047,0
0.604,-0.00036,0
0.614,-0.00051,0
0.625,-0.00057,0
0.635,-0.0006,0
0.644,-0.00054,0
0.655,-0.00062,0
0.664,-0.00055,0
0.674,-0.00054,0
0.685,-0.00045,0
0.695,-0.00041,0
0.705,-0.00038,0
0.715,-0.00043,0
0.725,-0.0005,0
0.734,-0.00057,0
0.745,-0.00053,0
0.754,-0.00057,0
0.765,-0.00052,0
0.774,-0.00045,0
0.785,-0.0004,0
0.794,-0.00041,0
0.804,-0.00046,0
0.814,-0.00054,0
0.824,-0.00052,0
0.834,-0.00051,0
0.845,-0.00051,0
0.854,-0.00036,0
0.865,-0.00026,0
0.874,-0.00023,0
0.885,-0.00024,0
0.894,-0.0003,0
0.905,-0.0004,0
0.914,-0.00047,0
0.924,-0.00054,0
0.934,-0.00061,0
0.945,-0.00058,0
0.955,-0.00062,0
0.965,-0.00055,0
0.975,-0.00048,0
0.985,-0.00039,0
0.994,-0.00035,0
1.005,-0.00003,0.4
1.014,0.00039,0.4
1.025,0.001,0.4
1.034,0.00147,0.4
1.045,0.00204,0.4
1.054,0.00242,0.4
1.065,0.0027,0.4
1.075,0.0028,0.4
1.085,0.00326,0.4
