x,y2,y1
0.015,-0.0001,0
0.025,-0.00025,0
0.034,-0.00044,0
0.045,-0.00052,0
0.055,-0.00071,0
0.065,-0.00055,0
0.075,-0.00041,0
0.084,-0.00017,0
0.094,-0.00011,0
0.104,0.00003,0
0.115,0,0
0.124,0.00006,0
0.134,-0.00002,0
0.145,0.00011,0
0.154,0.00004,0
0.164,0.00011,0
0.175,0.00011,0
0.185,0.00011,0
0.194,-0.00017,0
0.205,-0.00016,0
0.215,-0.00031,0
0.225,-0.00036,0
0.235,-0.00039,0
0.244,-0.00018,0
0.255,-0.00021,0
0.264,-0.00001,0
0.275,0.00006,0
0.284,0.00016,0
0.295,0.00012,0
0.305,0.00021,0
0.315,0.00003,0
0.324,-0.00009,0
0.335,-0.0003,0
0.344,-0.00026,0
0.354,-0.00023,0
0.364,-0.00002,0
0.375,0.00011,0
0.384,0.00027,0
0.394,0.00015,0
0.405,0.00009,0
0.414,0.00003,0
0.424,0.0001,0
0.434,0.00005,0
0.445,0.00028,0
0.455,0.00033,0
0.465,0.00027,0
0.475,0.00016,0
0.484,0.00038,0
0.495,0.00024,0
0.504,0.00025,0
0.515,0.00031,0
0.524,0.00033,0
0.535,0.00021,0
0.544,0.00032,0
0.555,0.0002,0
0.564,0.00009,0
0.575,-0.00008,0
0.584,-0.00019,0
0.595,-0.00035,0
0.604,-0.00022,0
0.614,-0.0002,0
0.625,-0.00007,0
0.635,-0.0002,0
0.644,-0.00019,0
0.655,-0.00037,0
0.664,-0.00029,0
0.674,-0.00025,0
0.685,-0.00014,0
0.695,-0.00021,0
0.705,-0.00013,0
0.715,-0.00019,0
0.725,-0.00023,0
0.734,-0.00013,0
0.745,0.00016,0
0.754,0.00001,0
0.765,0.00005,0
0.774,0.00011,0
0.785,0.0002,0
0.794,0.00006,0
0.804,0.0003,0
0.814,0.00015,0
0.824,0.00004,0
0.834,-0.0001,0
0.845,-0.00011,0
0.854,-0.00019,0
0.865,0.00007,0
0.874,0.00011,0
0.885,0.00009,0
0.894,0.00006,0
0.905,0.00014,0
0.914,-0.00015,0
0.924,-0.0001,0
0.934,-0.00003,0
0.945,-0.00003,0
0.955,-0.00005,0
0.965,0.00014,0
0.975,0.00005,0
0.985,0.00006,0
0.994,0.00005,0
1.005,0.00018,0.4
1.014,0.00062,0.4
1.025,0.00123,0.4
1.034,0.00172,0.4
1.045,0.0024,0.4
1.054,0.0028,0.4
1.065,0.00284,0.4
1.075,0.00275,0.4
1.085,0.0027,0.4
1.095,0.00259,0.4
1.105,0.0026,0.4
1.115,0.00266,0.4
1.125,0.0028,0.4
1.134,0.00301,0.4
1.145,0.00326,0.4
1.155,0.0034,0.4
1.164,0.00365,0.4
1.174,0.00388,0.4
1.184,0.00405,0.4
1.195,0.00411,0.4
1.204,0.00428,0.4
1.214,0.00434,0.4
1.224,0.00454,0.4
1.235,0.00467,0.4
1.244,0.00504,0.4
1.255,0.0054,0.4
1.264,0.00581,0.4
1.275,0.00606,0.4
1.284,0.00645,0.4
1.295,0.00663,0.4
1.304,0.00689,0.4
1.315,0.0071,0.4
1.325,0.0074,0.4
1.335,0.0077,0.4
1.344,0.00822,0.4
1.355,0.00868,0.4
1.365,0.00916,0.4
1.375,0.00956,0.4
1.384,0.00995,0.4
1.395,0.01022,0.4
1.405,0.01055,0.4
1.414,0.01093,0.4
1.424,0.01133,0.4
1.434,0.01186,0.4
1.445,0.01242,0.4
1.454,0.0129,0.4
1.464,0.01341,0.4
1.474,0.01398,0.4
1.485,0.01436,0.4
1.494,0.01467,0.4
1.505,0.01525,0.4
1.514,0.01557,0.4
1.525,0.01601,0.4
1.534,0.01653,0.4
1.545,0.01709,0.4
1.554,0.01734,0.4
1.565,0.01776,0.4
1.575,0.01811,0.4
1.585,0.01847,0.4
1.594,0.01891,0.4
1.605,0.01937,0.4
1.615,0.01983,0.4
1.625,0.02028,0.4
1.634,0.02062,0.4
1.645,0.02098,0.4
1.655,0.02135,0.4
1.664,0.02188,0.4
1.675,0.02222,0.4
1.684,0.0227,0.4
1.694,0.02305,0.4
1.704,0.02343,0.4
1.715,0.02361,0.4
1.725,0.02412,0.4
1.734,0.02456,0.4
1.744,0.02502,0.4
1.755,0.0255,0.4
1.765,0.02615,0.4
1.774,0.02647,0.4
1.784,0.02682,0.4
1.794,0.02719,0.4
1.804,0.02751,0.4
1.815,0.02768,0.4
1.825,0.02806,0.4
1.834,0.02847,0.4
1.844,0.02882,0.4
1.855,0.02914,0.4
1.865,0.02946,0.4
1.874,0.02963,0.4
1.884,0.02983,0.4
1.895,0.03006,0.4
1.905,0.03033,0.4
1.914,0.03058,0.4
1.925,0.0309,0.4
1.934,0.03103,0.4
1.944,0.03119,0.4
1.954,0.03132,0.4
1.964,0.03146,0.4
1.975,0.0317,0.4
1.985,0.03193,0.4
1.994,0.0322,0.4
2.004,0.03253,0.4
2.015,0.03282,0.4
2.024,0.03293,0.4
2.034,0.03305,0.4
2.044,0.0332,0.4
2.055,0.03324,0.4
2.065,0.03338,0.4
2.075,0.03354,0.4
2.084,0.03381,0.4
2.095,0.03393,0.4
2.104,0.03414,0.4
2.114,0.03424,0.4
2.125,0.03446,0.4
2.135,0.03453,0.4
2.145,0.0347,0.4
2.155,0.03471,0.4
2.164,0.03487,0.4
2.174,0.03506,0.4
2.184,0.03542,0.4
2.194,0.03557,0.4
2.204,0.03593,0.4
2.214,0.03612,0.4
2.224,0.03627,0.4
2.234,0.03619,0.4
2.244,0.03641,0.4
2.254,0.03644,0.4
2.265,0.03657,0.4
2.274,0.03673,0.4
2.284,0.03701,0.4
2.294,0.03708,0.4
2.305,0.03731,0.4
2.315,0.0375,0.4
2.324,0.03761,0.4
2.334,0.03774,0.4
2.345,0.03786,0.4
2.355,0.03792,0.4
2.364,0.03814,0.4
2.375,0.03824,0.4
2.385,0.03841,0.4
2.395,0.03851,0.4
2.404,0.03868,0.4
2.414,0.03863,0.4
2.424,0.03875,0.4
2.434,0.03869,0.4
2.444,0.03885,0.4
2.454,0.03885,0.4
2.464,0.03905,0.4
2.474,0.03909,0.4
2.484,0.0393,0.4
2.494,0.03936,0.4
2.504,0.0395,0.4
2.515,0.03941,0.4
2.524,0.03955,0.4
2.534,0.03947,0.4
2.544,0.03943,0.4
2.555,0.03934,0.4
2.565,0.03934,0.4
2.574,0.03929,0.4
2.584,0.03947,0.4
2.595,0.03955,0.4
2.605,0.03972,0.4
2.614,0.03975,0.4
2.625,0.03981,0.4
2.635,0.0396,0.4
2.645,0.03964,0.4
2.654,0.03957,0.4
2.664,0.03963,0.4
2.674,0.03959,0.4
2.684,0.03961,0.4
2.695,0.03963,0.4
2.704,0.03966,0.4
2.714,0.0396,0.4
2.724,0.03957,0.4
2.734,0.03954,0.4
2.744,0.03946,0.4
2.754,0.03949,0.4
2.765,0.03957,0.4
2.774,0.03962,0.4
2.784,0.03974,0.4
2.794,0.03971,0.4
2.804,0.03969,0.4
2.815,0.03957,0.4
2.825,0.0396,0.4
2.834,0.03963,0.4
2.845,0.03976,0.4
2.855,0.03968,0.4
2.865,0.03974,0.4
2.875,0.03967,0.4
2.884,0.03966,0.4
2.895,0.03958,0.4
2.905,0.03971,0.4
2.914,0.03967,0.4
2.924,0.03964,0.4
2.934,0.03963,0.4
2.945,0.03973,0.4
2.954,0.03962,0.4
2.964,0.0397,0.4
2.974,0.0398,0.4
2.984,0.0397,0.4
2.994,0.03951,0.4
3.004,0.03954,0.4
3.015,0.03944,0.4
3.024,0.03947,0.4
3.034,0.03958,0.4
3.044,0.03968,0.4
3.054,0.03966,0.4
3.065,0.03981,0.4
3.075,0.0397,0.4
3.084,0.03971,0.4
3.095,0.03965,0.4
3.105,0.03968,0.4
3.115,0.03957,0.4
3.125,0.03962,0.4
3.134,0.03946,0.4
3.145,0.03944,0.4
3.155,0.03942,0.4
3.164,0.03956,0.4
3.174,0.03953,0.4
3.184,0.03971,0.4
3.195,0.03985,0.4
3.205,0.03988,0.4
3.214,0.03971,0.4
3.225,0.03973,0.4
3.234,0.03976,0.4
3.244,0.0399,0.4
3.254,0.03992,0.4
3.265,0.04012,0.4
3.274,0.04025,0.4
3.285,0.0403,0.4
3.294,0.0402,0.4
3.304,0.0404,0.4
3.315,0.04043,0.4
3.324,0.04052,0.4
3.334,0.04056,0.4
3.345,0.04064,0.4
3.355,0.04049,0.4
3.365,0.04048,0.4
3.375,0.04036,0.4
3.385,0.04041,0.4
3.395,0.0404,0.4
3.405,0.04058,0.4
3.414,0.04073,0.4
3.424,0.041,0.4
3.435,0.04097,0.4
3.444,0.04105,0.4
3.455,0.04102,0.4
3.464,0.04094,0.4
3.475,0.04078,0.4
3.484,0.04085,0.4
3.494,0.04075,0.4
3.504,0.04076,0.4
3.515,0.04078,0.4
3.524,0.04089,0.4
3.535,0.04093,0.4
3.544,0.04109,0.4
3.554,0.0411,0.4
3.565,0.04106,0.4
3.574,0.041,0.4
3.585,0.04096,0.4
