Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1.5
Label,
TIME,CH1
-1.6000e-02,-0.045
-1.5998e-02,-0.045
-1.5997e-02,0.015
-1.5995e-02,-0.045
-1.5994e-02,-0.045
-1.5992e-02,0.015
-1.5990e-02,0.015
-1.5989e-02,-0.045
-1.5987e-02,0.015
-1.5986e-02,-0.045
-1.5984e-02,-0.045
-1.5982e-02,-0.045
-1.5981e-02,0.015
-1.5979e-02,-0.045
-1.5978e-02,-0.045
-1.5976e-02,-0.045
-1.5974e-02,-0.045
-1.5973e-02,-0.045
-1.5971e-02,-0.045
-1.5970e-02,0.015
-1.5968e-02,0.735
-1.5966e-02,2.115
-1.5965e-02,3.255
-1.5963e-02,4.695
-1.5962e-02,5.055
-1.5960e-02,5.055
-1.5958e-02,4.995
-1.5957e-02,4.995
-1.5955e-02,5.055
-1.5954e-02,5.055
-1.5952e-02,5.055
-1.5950e-02,5.055
-1.5949e-02,5.055
-1.5947e-02,5.055
-1.5946e-02,5.055
-1.5944e-02,5.055
-1.5942e-02,5.055
-1.5941e-02,5.055
-1.5939e-02,5.055
-1.5938e-02,5.055
-1.5936e-02,5.055
-1.5934e-02,5.055
-1.5933e-02,5.055
-1.5931e-02,5.055
-1.5930e-02,5.055
-1.5928e-02,5.055
-1.5926e-02,5.055
-1.5925e-02,5.055
-1.5923e-02,5.055
-1.5922e-02,5.055
-1.5920e-02,5.055
-1.5918e-02,5.055
-1.5917e-02,5.055
-1.5915e-02,5.055
-1.5914e-02,5.055
-1.5912e-02,5.055
-1.5910e-02,5.055
-1.5909e-02,5.055
-1.5907e-02,5.055
-1.5906e-02,5.055
-1.5904e-02,5.055
-1.5902e-02,5.055
-1.5901e-02,5.055
-1.5899e-02,5.055
-1.5898e-02,5.055
-1.5896e-02,5.055
-1.5894e-02,5.055
-1.5893e-02,5.055
-1.5891e-02,5.055
-1.5890e-02,5.055
-1.5888e-02,4.995
-1.5886e-02,5.055
-1.5885e-02,5.055
-1.5883e-02,5.055
-1.5882e-02,5.055
-1.5880e-02,5.055
-1.5878e-02,5.055
-1.5877e-02,5.055
-1.5875e-02,5.055
-1.5874e-02,4.995
-1.5872e-02,5.055
-1.5870e-02,5.055
-1.5869e-02,5.055
-1.5867e-02,5.055
-1.5866e-02,5.055
-1.5864e-02,5.055
-1.5862e-02,5.055
-1.5861e-02,5.055
-1.5859e-02,5.055
-1.5858e-02,5.055
-1.5856e-02,5.055
-1.5854e-02,5.055
-1.5853e-02,5.055
-1.5851e-02,5.055
-1.5850e-02,5.055
-1.5848e-02,5.055
-1.5846e-02,5.055
-1.5845e-02,5.055
-1.5843e-02,5.055
-1.5842e-02,5.055
-1.5840e-02,5.055
-1.5838e-02,5.055
-1.5837e-02,5.055
-1.5835e-02,5.055
-1.5834e-02,5.055
-1.5832e-02,5.055
-1.5830e-02,5.055
-1.5829e-02,5.055
-1.5827e-02,5.055
-1.5826e-02,5.055
-1.5824e-02,5.055
-1.5822e-02,5.055
-1.5821e-02,5.055
-1.5819e-02,5.055
-1.5818e-02,5.055
-1.5816e-02,5.055
-1.5814e-02,5.055
-1.5813e-02,5.055
-1.5811e-02,5.055
-1.5810e-02,4.995
-1.5808e-02,5.055
-1.5806e-02,5.055
-1.5805e-02,5.055
-1.5803e-02,5.055
-1.5802e-02,5.055
-1.5800e-02,5.055
-1.5798e-02,5.055
-1.5797e-02,5.055
-1.5795e-02,5.055
-1.5794e-02,5.055
-1.5792e-02,5.055
-1.5790e-02,5.055
-1.5789e-02,5.055
-1.5787e-02,5.055
-1.5786e-02,5.055
-1.5784e-02,5.055
-1.5782e-02,5.055
-1.5781e-02,5.055
-1.5779e-02,5.055
-1.5778e-02,5.055
-1.5776e-02,5.055
-1.5774e-02,5.055
-1.5773e-02,5.055
-1.5771e-02,5.055
-1.5770e-02,5.055
-1.5768e-02,5.055
-1.5766e-02,5.055
-1.5765e-02,5.055
-1.5763e-02,5.055
-1.5762e-02,5.055
-1.5760e-02,5.055
-1.5758e-02,5.055
-1.5757e-02,5.055
-1.5755e-02,5.055
-1.5754e-02,5.055
-1.5752e-02,5.055
-1.5750e-02,5.055
-1.5749e-02,5.055
-1.5747e-02,5.055
-1.5746e-02,5.055
-1.5744e-02,5.055
-1.5742e-02,5.055
-1.5741e-02,5.055
-1.5739e-02,5.055
-1.5738e-02,5.055
-1.5736e-02,5.055
-1.5734e-02,5.055
-1.5733e-02,5.055
-1.5731e-02,5.055
-1.5730e-02,5.055
-1.5728e-02,4.995
-1.5726e-02,5.055
-1.5725e-02,5.055
-1.5723e-02,5.055
-1.5722e-02,5.055
-1.5720e-02,5.055
-1.5718e-02,5.055
-1.5717e-02,5.055
-1.5715e-02,5.055
-1.5714e-02,5.055
-1.5712e-02,5.055
-1.5710e-02,5.055
-1.5709e-02,5.055
-1.5707e-02,5.055
-1.5706e-02,5.055
-1.5704e-02,5.055
-1.5702e-02,5.055
-1.5701e-02,5.055
-1.5699e-02,5.055
-1.5698e-02,5.055
-1.5696e-02,5.055
-1.5694e-02,5.055
-1.5693e-02,5.055
-1.5691e-02,5.055
-1.5690e-02,5.055
-1.5688e-02,5.055
-1.5686e-02,5.055
-1.5685e-02,5.055
-1.5683e-02,5.055
-1.5682e-02,5.055
-1.5680e-02,5.055
-1.5678e-02,5.055
-1.5677e-02,5.055
-1.5675e-02,5.055
-1.5674e-02,5.055
-1.5672e-02,5.055
-1.5670e-02,5.055
-1.5669e-02,5.055
-1.5667e-02,5.055
-1.5666e-02,5.055
-1.5664e-02,5.055
-1.5662e-02,5.055
-1.5661e-02,5.055
-1.5659e-02,5.055
-1.5658e-02,5.055
-1.5656e-02,5.055
-1.5654e-02,5.055
-1.5653e-02,5.055
-1.5651e-02,5.055
-1.5650e-02,5.055
-1.5648e-02,5.055
-1.5646e-02,5.055
-1.5645e-02,4.995
-1.5643e-02,4.995
-1.5642e-02,5.055
-1.5640e-02,5.055
-1.5638e-02,4.995
-1.5637e-02,5.055
-1.5635e-02,5.055
-1.5634e-02,5.055
-1.5632e-02,5.055
-1.5630e-02,5.055
-1.5629e-02,5.055
-1.5627e-02,5.055
-1.5626e-02,5.055
-1.5624e-02,5.055
-1.5622e-02,5.055
-1.5621e-02,5.055
-1.5619e-02,5.055
-1.5618e-02,5.055
-1.5616e-02,5.055
-1.5614e-02,5.055
-1.5613e-02,5.055
-1.5611e-02,5.055
-1.5610e-02,5.055
-1.5608e-02,5.055
-1.5606e-02,5.055
-1.5605e-02,5.055
-1.5603e-02,5.055
-1.5602e-02,5.055
-1.5600e-02,4.995
-1.5598e-02,5.055
-1.5597e-02,5.055
-1.5595e-02,5.055
-1.5594e-02,5.055
-1.5592e-02,5.055
-1.5590e-02,5.055
-1.5589e-02,5.055
-1.5587e-02,4.455
-1.5586e-02,3.075
-1.5584e-02,1.875
-1.5582e-02,0.555
-1.5581e-02,-0.045
-1.5579e-02,-0.045
-1.5578e-02,-0.045
-1.5576e-02,0.015
-1.5574e-02,-0.045
-1.5573e-02,-0.045
-1.5571e-02,-0.045
-1.5570e-02,-0.045
-1.5568e-02,-0.045
-1.5566e-02,0.015
-1.5565e-02,-0.045
-1.5563e-02,-0.045
-1.5562e-02,-0.045
-1.5560e-02,-0.045
-1.5558e-02,-0.045
-1.5557e-02,-0.045
-1.5555e-02,-0.045
-1.5554e-02,-0.045
-1.5552e-02,-0.045
-1.5550e-02,-0.045
-1.5549e-02,-0.045
-1.5547e-02,-0.045
-1.5546e-02,0.015
-1.5544e-02,-0.045
-1.5542e-02,-0.045
-1.5541e-02,-0.045
-1.5539e-02,-0.045
-1.5538e-02,-0.045
-1.5536e-02,-0.045
-1.5534e-02,-0.045
-1.5533e-02,-0.045
-1.5531e-02,-0.045
-1.5530e-02,-0.045
-1.5528e-02,-0.045
-1.5526e-02,-0.045
-1.5525e-02,-0.045
-1.5523e-02,0.915
-1.5522e-02,2.295
-1.5520e-02,3.495
-1.5518e-02,4.875
-1.5517e-02,4.995
-1.5515e-02,5.055
-1.5514e-02,5.055
-1.5512e-02,4.995
-1.5510e-02,5.055
-1.5509e-02,5.055
-1.5507e-02,4.995
-1.5506e-02,5.055
-1.5504e-02,4.995
-1.5502e-02,5.055
-1.5501e-02,5.055
-1.5499e-02,5.055
-1.5498e-02,5.055
-1.5496e-02,5.055
-1.5494e-02,5.055
-1.5493e-02,5.055
-1.5491e-02,5.055
-1.5490e-02,5.055
-1.5488e-02,5.055
-1.5486e-02,5.055
-1.5485e-02,5.055
-1.5483e-02,5.055
-1.5482e-02,5.055
-1.5480e-02,5.055
-1.5478e-02,4.995
-1.5477e-02,5.055
-1.5475e-02,5.055
-1.5474e-02,5.055
-1.5472e-02,5.055
-1.5470e-02,5.055
-1.5469e-02,5.055
-1.5467e-02,5.055
-1.5466e-02,5.055
-1.5464e-02,5.055
-1.5462e-02,5.055
-1.5461e-02,4.875
-1.5459e-02,3.675
-1.5458e-02,2.295
-1.5456e-02,1.155
-1.5454e-02,-0.045
-1.5453e-02,-0.045
-1.5451e-02,0.015
-1.5450e-02,0.015
-1.5448e-02,0.015
-1.5446e-02,0.015
-1.5445e-02,0.015
-1.5443e-02,-0.045
-1.5442e-02,-0.045
-1.5440e-02,0.015
-1.5438e-02,-0.045
-1.5437e-02,0.015
-1.5435e-02,-0.045
-1.5434e-02,-0.045
-1.5432e-02,-0.045
-1.5430e-02,-0.045
-1.5429e-02,0.015
-1.5427e-02,-0.045
-1.5426e-02,-0.045
-1.5424e-02,-0.045
-1.5422e-02,-0.045
-1.5421e-02,0.015
-1.5419e-02,-0.045
-1.5418e-02,-0.045
-1.5416e-02,-0.045
-1.5414e-02,-0.045
-1.5413e-02,0.015
